id_fecha,dia,mes,año,dia_semana,festivo_nacional
,26,septiembre,2013,jueves,desc
,27,septiembre,2013,viernes,desc
,28,septiembre,2013,sábado,desc
,29,septiembre,2013,domingo,desc
,30,septiembre,2013,lunes,desc
,1,octubre,2013,martes,desc
,2,octubre,2013,miércoles,desc
,3,octubre,2013,jueves,desc
,4,octubre,2013,viernes,desc
,5,octubre,2013,sábado,desc
,6,octubre,2013,domingo,desc
,7,octubre,2013,lunes,desc
,8,octubre,2013,martes,desc
,9,octubre,2013,miércoles,desc
,10,octubre,2013,jueves,desc
,11,octubre,2013,viernes,desc
,12,octubre,2013,sábado,s
,13,octubre,2013,domingo,desc
,14,octubre,2013,lunes,desc
,15,octubre,2013,martes,desc
,16,octubre,2013,miércoles,desc
,17,octubre,2013,jueves,desc
,18,octubre,2013,viernes,desc
,19,octubre,2013,sábado,desc
,20,octubre,2013,domingo,desc
,21,octubre,2013,lunes,desc
,22,octubre,2013,martes,desc
,23,octubre,2013,miércoles,desc
,24,octubre,2013,jueves,desc
,25,octubre,2013,viernes,desc
,26,octubre,2013,sábado,desc
,27,octubre,2013,domingo,desc
,28,octubre,2013,lunes,desc
,29,octubre,2013,martes,desc
,30,octubre,2013,miércoles,desc
,31,octubre,2013,jueves,desc
,1,noviembre,2013,viernes,desc
,2,noviembre,2013,sábado,desc
,3,noviembre,2013,domingo,desc
,4,noviembre,2013,lunes,desc
,5,noviembre,2013,martes,desc
,6,noviembre,2013,miércoles,desc
,7,noviembre,2013,jueves,desc
,8,noviembre,2013,viernes,desc
,9,noviembre,2013,sábado,desc
,10,noviembre,2013,domingo,desc
,11,noviembre,2013,lunes,desc
,12,noviembre,2013,martes,desc
,13,noviembre,2013,miércoles,desc
,14,noviembre,2013,jueves,desc
,15,noviembre,2013,viernes,desc
,16,noviembre,2013,sábado,desc
,17,noviembre,2013,domingo,desc
,18,noviembre,2013,lunes,desc
,19,noviembre,2013,martes,desc
,20,noviembre,2013,miércoles,desc
,21,noviembre,2013,jueves,desc
,22,noviembre,2013,viernes,desc
,23,noviembre,2013,sábado,desc
,24,noviembre,2013,domingo,desc
,25,noviembre,2013,lunes,desc
,26,noviembre,2013,martes,desc
,27,noviembre,2013,miércoles,desc
,28,noviembre,2013,jueves,desc
,29,noviembre,2013,viernes,desc
,30,noviembre,2013,sábado,desc
,1,diciembre,2013,domingo,desc
,2,diciembre,2013,lunes,desc
,3,diciembre,2013,martes,desc
,4,diciembre,2013,miércoles,desc
,5,diciembre,2013,jueves,desc
,6,diciembre,2013,viernes,desc
