id_hora,hora,minuto,verano
529n,5,29,n
530s,5,30,s
530n,5,30,n
531s,5,31,s
531n,5,31,n
532s,5,32,s
532n,5,32,n
533s,5,33,s
533n,5,33,n
534s,5,34,s
534n,5,34,n
535s,5,35,s
535n,5,35,n
536s,5,36,s
536n,5,36,n
537s,5,37,s
537n,5,37,n
538s,5,38,s
538n,5,38,n
539s,5,39,s
539n,5,39,n
540s,5,40,s
540n,5,40,n
541s,5,41,s
541n,5,41,n
542s,5,42,s
542n,5,42,n
543s,5,43,s
543n,5,43,n
544s,5,44,s
544n,5,44,n
545s,5,45,s
545n,5,45,n
546s,5,46,s
546n,5,46,n
547s,5,47,s
547n,5,47,n
548s,5,48,s
548n,5,48,n
549s,5,49,s
549n,5,49,n
550s,5,50,s
550n,5,50,n
551s,5,51,s
551n,5,51,n
552s,5,52,s
552n,5,52,n
553s,5,53,s
553n,5,53,n
554s,5,54,s
554n,5,54,n
555s,5,55,s
555n,5,55,n
556s,5,56,s
556n,5,56,n
557s,5,57,s
557n,5,57,n
558s,5,58,s
558n,5,58,n
559s,5,59,s
559n,5,59,n
60s,6,0,s
60n,6,0,n
61s,6,1,s
61n,6,1,n
62s,6,2,s
62n,6,2,n
63s,6,3,s
63n,6,3,n
64s,6,4,s
64n,6,4,n
65s,6,5,s
65n,6,5,n
66s,6,6,s
66n,6,6,n
67s,6,7,s
67n,6,7,n
68s,6,8,s
68n,6,8,n
69s,6,9,s
69n,6,9,n
610s,6,10,s
610n,6,10,n
611s,6,11,s
611n,6,11,n
612s,6,12,s
612n,6,12,n
613s,6,13,s
613n,6,13,n
614s,6,14,s
614n,6,14,n
615s,6,15,s
615n,6,15,n
616s,6,16,s
616n,6,16,n
617s,6,17,s
617n,6,17,n
618s,6,18,s
618n,6,18,n
619s,6,19,s
619n,6,19,n
620s,6,20,s
620n,6,20,n
621s,6,21,s
621n,6,21,n
622s,6,22,s
622n,6,22,n
623s,6,23,s
623n,6,23,n
624s,6,24,s
624n,6,24,n
625s,6,25,s
625n,6,25,n
626s,6,26,s
626n,6,26,n
627s,6,27,s
627n,6,27,n
628s,6,28,s
628n,6,28,n
629s,6,29,s
629n,6,29,n
630s,6,30,s
630n,6,30,n
631s,6,31,s
631n,6,31,n
632s,6,32,s
632n,6,32,n
633s,6,33,s
633n,6,33,n
634s,6,34,s
634n,6,34,n
635s,6,35,s
635n,6,35,n
636s,6,36,s
636n,6,36,n
637s,6,37,s
637n,6,37,n
638s,6,38,s
638n,6,38,n
639s,6,39,s
639n,6,39,n
640s,6,40,s
640n,6,40,n
641s,6,41,s
641n,6,41,n
642s,6,42,s
642n,6,42,n
643s,6,43,s
643n,6,43,n
644s,6,44,s
644n,6,44,n
645s,6,45,s
645n,6,45,n
646s,6,46,s
646n,6,46,n
647s,6,47,s
647n,6,47,n
648s,6,48,s
648n,6,48,n
649s,6,49,s
649n,6,49,n
650s,6,50,s
650n,6,50,n
651s,6,51,s
651n,6,51,n
652s,6,52,s
652n,6,52,n
653s,6,53,s
653n,6,53,n
654s,6,54,s
654n,6,54,n
655s,6,55,s
655n,6,55,n
656s,6,56,s
656n,6,56,n
657s,6,57,s
657n,6,57,n
658s,6,58,s
658n,6,58,n
659s,6,59,s
659n,6,59,n
70s,7,0,s
70n,7,0,n
71s,7,1,s
71n,7,1,n
72s,7,2,s
72n,7,2,n
73s,7,3,s
73n,7,3,n
74s,7,4,s
74n,7,4,n
75s,7,5,s
75n,7,5,n
76s,7,6,s
76n,7,6,n
77s,7,7,s
77n,7,7,n
78s,7,8,s
78n,7,8,n
79s,7,9,s
79n,7,9,n
710s,7,10,s
710n,7,10,n
711s,7,11,s
711n,7,11,n
712s,7,12,s
712n,7,12,n
713s,7,13,s
713n,7,13,n
714s,7,14,s
714n,7,14,n
715s,7,15,s
715n,7,15,n
716s,7,16,s
716n,7,16,n
717s,7,17,s
717n,7,17,n
718s,7,18,s
718n,7,18,n
719s,7,19,s
719n,7,19,n
720s,7,20,s
720n,7,20,n
721s,7,21,s
721n,7,21,n
722s,7,22,s
722n,7,22,n
723s,7,23,s
723n,7,23,n
724s,7,24,s
724n,7,24,n
725s,7,25,s
725n,7,25,n
726s,7,26,s
726n,7,26,n
727s,7,27,s
727n,7,27,n
728s,7,28,s
728n,7,28,n
729s,7,29,s
729n,7,29,n
730s,7,30,s
730n,7,30,n
731s,7,31,s
731n,7,31,n
732s,7,32,s
732n,7,32,n
733s,7,33,s
733n,7,33,n
734s,7,34,s
734n,7,34,n
735s,7,35,s
735n,7,35,n
736s,7,36,s
736n,7,36,n
737s,7,37,s
737n,7,37,n
738s,7,38,s
738n,7,38,n
739s,7,39,s
739n,7,39,n
740s,7,40,s
740n,7,40,n
741s,7,41,s
741n,7,41,n
742s,7,42,s
742n,7,42,n
743s,7,43,s
743n,7,43,n
744s,7,44,s
744n,7,44,n
745s,7,45,s
745n,7,45,n
746s,7,46,s
746n,7,46,n
747s,7,47,s
747n,7,47,n
748s,7,48,s
748n,7,48,n
749s,7,49,s
749n,7,49,n
750s,7,50,s
750n,7,50,n
751s,7,51,s
751n,7,51,n
752s,7,52,s
752n,7,52,n
753s,7,53,s
753n,7,53,n
754s,7,54,s
754n,7,54,n
755s,7,55,s
755n,7,55,n
756s,7,56,s
756n,7,56,n
757s,7,57,s
757n,7,57,n
758s,7,58,s
758n,7,58,n
759s,7,59,s
759n,7,59,n
80s,8,0,s
80n,8,0,n
81s,8,1,s
81n,8,1,n
82s,8,2,s
82n,8,2,n
83s,8,3,s
83n,8,3,n
84s,8,4,s
84n,8,4,n
85s,8,5,s
85n,8,5,n
86s,8,6,s
86n,8,6,n
87s,8,7,s
87n,8,7,n
88s,8,8,s
88n,8,8,n
89s,8,9,s
89n,8,9,n
810s,8,10,s
810n,8,10,n
811s,8,11,s
811n,8,11,n
812s,8,12,s
812n,8,12,n
813s,8,13,s
813n,8,13,n
814s,8,14,s
814n,8,14,n
815s,8,15,s
815n,8,15,n
816s,8,16,s
816n,8,16,n
817s,8,17,s
817n,8,17,n
818s,8,18,s
818n,8,18,n
819s,8,19,s
819n,8,19,n
820s,8,20,s
820n,8,20,n
821s,8,21,s
821n,8,21,n
822s,8,22,s
822n,8,22,n
823s,8,23,s
823n,8,23,n
824s,8,24,s
824n,8,24,n
825s,8,25,s
825n,8,25,n
826s,8,26,s
826n,8,26,n
827s,8,27,s
827n,8,27,n
828s,8,28,s
828n,8,28,n
829s,8,29,s
829n,8,29,n
830s,8,30,s
830n,8,30,n
831s,8,31,s
831n,8,31,n
832s,8,32,s
832n,8,32,n
833s,8,33,s
833n,8,33,n
834s,8,34,s
834n,8,34,n
835s,8,35,s
835n,8,35,n
836s,8,36,s
836n,8,36,n
837s,8,37,s
837n,8,37,n
838s,8,38,s
838n,8,38,n
839s,8,39,s
839n,8,39,n
840s,8,40,s
840n,8,40,n
841s,8,41,s
841n,8,41,n
842s,8,42,s
842n,8,42,n
843s,8,43,s
843n,8,43,n
844s,8,44,s
844n,8,44,n
845s,8,45,s
845n,8,45,n
846s,8,46,s
846n,8,46,n
847s,8,47,s
847n,8,47,n
848s,8,48,s
848n,8,48,n
849s,8,49,s
849n,8,49,n
850s,8,50,s
850n,8,50,n
851s,8,51,s
851n,8,51,n
852s,8,52,s
852n,8,52,n
853s,8,53,s
853n,8,53,n
854s,8,54,s
854n,8,54,n
855s,8,55,s
855n,8,55,n
856s,8,56,s
856n,8,56,n
857s,8,57,s
857n,8,57,n
858s,8,58,s
858n,8,58,n
859s,8,59,s
859n,8,59,n
90s,9,0,s
90n,9,0,n
91s,9,1,s
91n,9,1,n
92s,9,2,s
92n,9,2,n
93s,9,3,s
93n,9,3,n
94s,9,4,s
94n,9,4,n
95s,9,5,s
95n,9,5,n
96s,9,6,s
96n,9,6,n
97s,9,7,s
97n,9,7,n
98s,9,8,s
98n,9,8,n
99s,9,9,s
99n,9,9,n
910s,9,10,s
910n,9,10,n
911s,9,11,s
911n,9,11,n
912s,9,12,s
912n,9,12,n
913s,9,13,s
913n,9,13,n
914s,9,14,s
914n,9,14,n
915s,9,15,s
915n,9,15,n
916s,9,16,s
916n,9,16,n
917s,9,17,s
917n,9,17,n
918s,9,18,s
918n,9,18,n
919s,9,19,s
919n,9,19,n
920s,9,20,s
920n,9,20,n
921s,9,21,s
921n,9,21,n
922s,9,22,s
922n,9,22,n
923s,9,23,s
923n,9,23,n
924s,9,24,s
924n,9,24,n
925s,9,25,s
925n,9,25,n
926s,9,26,s
926n,9,26,n
927s,9,27,s
927n,9,27,n
928s,9,28,s
928n,9,28,n
929s,9,29,s
929n,9,29,n
930s,9,30,s
930n,9,30,n
931s,9,31,s
931n,9,31,n
932s,9,32,s
932n,9,32,n
933s,9,33,s
933n,9,33,n
934s,9,34,s
934n,9,34,n
935s,9,35,s
935n,9,35,n
936s,9,36,s
936n,9,36,n
937s,9,37,s
937n,9,37,n
938s,9,38,s
938n,9,38,n
939s,9,39,s
939n,9,39,n
940s,9,40,s
940n,9,40,n
941s,9,41,s
941n,9,41,n
942s,9,42,s
942n,9,42,n
943s,9,43,s
943n,9,43,n
944s,9,44,s
944n,9,44,n
945s,9,45,s
945n,9,45,n
946s,9,46,s
946n,9,46,n
947s,9,47,s
947n,9,47,n
948s,9,48,s
948n,9,48,n
949s,9,49,s
949n,9,49,n
950s,9,50,s
950n,9,50,n
951s,9,51,s
951n,9,51,n
952s,9,52,s
952n,9,52,n
953s,9,53,s
953n,9,53,n
954s,9,54,s
954n,9,54,n
955s,9,55,s
955n,9,55,n
956s,9,56,s
956n,9,56,n
957s,9,57,s
957n,9,57,n
958s,9,58,s
958n,9,58,n
959s,9,59,s
959n,9,59,n
100s,10,0,s
100n,10,0,n
101s,10,1,s
101n,10,1,n
102s,10,2,s
102n,10,2,n
103s,10,3,s
103n,10,3,n
104s,10,4,s
104n,10,4,n
105s,10,5,s
105n,10,5,n
106s,10,6,s
106n,10,6,n
107s,10,7,s
107n,10,7,n
108s,10,8,s
108n,10,8,n
109s,10,9,s
109n,10,9,n
1010s,10,10,s
1010n,10,10,n
1011s,10,11,s
1011n,10,11,n
1012s,10,12,s
1012n,10,12,n
1013s,10,13,s
1013n,10,13,n
1014s,10,14,s
1014n,10,14,n
1015s,10,15,s
1015n,10,15,n
1016s,10,16,s
1016n,10,16,n
1017s,10,17,s
1017n,10,17,n
1018s,10,18,s
1018n,10,18,n
1019s,10,19,s
1019n,10,19,n
1020s,10,20,s
1020n,10,20,n
1021s,10,21,s
1021n,10,21,n
1022s,10,22,s
1022n,10,22,n
1023s,10,23,s
1023n,10,23,n
1024s,10,24,s
1024n,10,24,n
1025s,10,25,s
1025n,10,25,n
1026s,10,26,s
1026n,10,26,n
1027s,10,27,s
1027n,10,27,n
1028s,10,28,s
1028n,10,28,n
1029s,10,29,s
1029n,10,29,n
1030s,10,30,s
1030n,10,30,n
1031s,10,31,s
1031n,10,31,n
1032s,10,32,s
1032n,10,32,n
1033s,10,33,s
1033n,10,33,n
1034s,10,34,s
1034n,10,34,n
1035s,10,35,s
1035n,10,35,n
1036s,10,36,s
1036n,10,36,n
1037s,10,37,s
1037n,10,37,n
1038s,10,38,s
1038n,10,38,n
1039s,10,39,s
1039n,10,39,n
1040s,10,40,s
1040n,10,40,n
1041s,10,41,s
1041n,10,41,n
